Study,Species,Genus,Family,Order,Migration_distance,Location,Latitude,Longitude,Continent,Start_year,End_year,Predictor,Response_variable,Slope,SE,SE_calc,N,P_value,T_value,Temperature_location,Data_source,Arrival_location,,gendiet,maindiet,bodymass,bodysource,genhabitat,mainhabitat,hemisphere
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Catharus ustulatus,Catharus,Turdidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-0.41,0.59,,,,,passage,standardized capture and ringing,passage,,2,inv,30.3,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Catharus fuscescens,Catharus,Turdidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.06,0.47,,,,,passage,standardized capture and ringing,passage,,2,inv,31.9,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Hylocichla mustelina,Hylocichla,Turdidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-0.56,0.9,,,,,passage,standardized capture and ringing,passage,,2,inv,50.09,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Hylocichla mustelina,Hylocichla,Turdidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-0.67,0.53,,,,,passage,standardized capture and ringing,passage,,2,inv,50.09,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Vireo olivaceus,Vireo,Vireonidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,0.14,0.45,,,,,passage,standardized capture and ringing,passage,,3,inv,16.06,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Vireo olivaceus,Vireo,Vireonidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.99,0.66,,,,,passage,standardized capture and ringing,passage,,3,inv,16.06,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Vireo griseus,Vireo,Vireonidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-0.52,0.87,,,,,passage,standardized capture and ringing,passage,,2,inv,11.4,Dunning08,4,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Vireo gilvus,Vireo,Vireonidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.99,0.69,,,,,passage,standardized capture and ringing,passage,,1,inv,12.67,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Dendroica virens,Dendroica,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-0.75,0.78,,,,,passage,standardized capture and ringing,passage,,3,inv,8.69,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Dendroica caerulescens,Dendroica,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.11,0.7,,,,,passage,standardized capture and ringing,passage,,1,inv,10.14,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Dendroica magnolia,Dendroica,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-1.63,0.49,,,,,passage,standardized capture and ringing,passage,,1,inv,8.14,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Dendroica magnolia,Dendroica,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.19,0.41,,,,,passage,standardized capture and ringing,passage,,1,inv,8.14,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Dendroica pensylvanica,Dendroica,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-0.56,0.95,,,,,passage,standardized capture and ringing,passage,,1,inv,9.29,Dunning08,3,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Dendroica pensylvanica,Dendroica,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-0.61,0.46,,,,,passage,standardized capture and ringing,passage,,1,inv,9.29,Dunning08,3,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Dendroica castanea,Dendroica,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.06,0.75,,,,,passage,standardized capture and ringing,passage,,2,inv,11.8,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Dendroica petechia,Dendroica,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-0.39,0.43,,,,,passage,standardized capture and ringing,passage,,1,inv,10.22,Dunning08,3,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Dendroica petechia,Dendroica,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-0.6,0.45,,,,,passage,standardized capture and ringing,passage,,1,inv,10.22,Dunning08,3,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Dendroica fusca,Dendroica,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,0.03,0.67,,,,,passage,standardized capture and ringing,passage,,2,inv,9.74,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Dendroica palmarum,Dendroica,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.57,0.62,,,,,passage,standardized capture and ringing,passage,,1,inv,10.3,Dunning08,3,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Vermivora pinus,Vermivora,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-0.94,1.19,,,,,passage,standardized capture and ringing,passage,,1,inv,8.9,Dunning08,2,0,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Vermivora chrysoptera,Vermivora,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-2.24,0.84,,,,,passage,standardized capture and ringing,passage,,1,inv,8.74,Dunning08,5,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Vermivora peregrina,Vermivora,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-2.43,0.38,,,,,passage,standardized capture and ringing,passage,,2,inv,8.9,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Vermivora peregrina,Vermivora,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.48,0.37,,,,,passage,standardized capture and ringing,passage,,2,inv,8.9,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Vermivora ruficapilla,Vermivora,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-1.78,0.52,,,,,passage,standardized capture and ringing,passage,,1,inv,8.09,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Vermivora ruficapilla,Vermivora,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.89,0.46,,,,,passage,standardized capture and ringing,passage,,1,inv,8.09,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Mniotilta varia,Mniotilta,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-0.4,0.78,,,,,passage,standardized capture and ringing,passage,,2,inv,10.9,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Wilsonia canadensis,Wilsonia,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-0.92,0.48,,,,,passage,standardized capture and ringing,passage,,1,inv,10.04,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Wilsonia canadensis,Wilsonia,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-0.89,0.68,,,,,passage,standardized capture and ringing,passage,,1,inv,10.04,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Wilsonia citrina,Wilsonia,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,0.23,0.77,,,,,passage,standardized capture and ringing,passage,,1,inv,10.54,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Wilsonia pusilla,Wilsonia,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-1.28,0.41,,,,,passage,standardized capture and ringing,passage,,1,inv,6.96,Dunning08,4,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Wilsonia pusilla,Wilsonia,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-0.79,0.51,,,,,passage,standardized capture and ringing,passage,,1,inv,6.96,Dunning08,4,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Setophaga ruticilla,Setophaga,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-0.69,0.5,,,,,passage,standardized capture and ringing,passage,,1,inv,8.24,Dunning08,3,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Setophaga ruticilla,Setophaga,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,0.78,0.69,,,,,passage,standardized capture and ringing,passage,,1,inv,8.24,Dunning08,3,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Oporornis philadelphia,Oporornis,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-1.86,0.69,,,,,passage,standardized capture and ringing,passage,,1,inv,11.74,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Oporornis philadelphia,Oporornis,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.71,0.67,,,,,passage,standardized capture and ringing,passage,,1,inv,11.74,Dunning08,2,1,northern
