"plotcode","stem_id","diam","pom","height","family","genus","species","year","gen_sp","group"
"MGR-008","8003",11.2,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8004",11.2,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8005",10.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8006",5.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8008",13.5,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8009",13.8,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8010",13.2,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8011",6.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8012",6.8,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8013",6.9,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8014",6.9,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8015",6.5,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8016",12,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8017",12.1,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8018",12.3,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8019",12,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8020",6,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8021",5.4,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8022",6.8,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8023",6.8,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8024",8.6,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8025",12.2,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8026",12.2,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8027",12.2,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8028",12.1,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8029",6.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8030",13,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8031",13.2,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8032",13.2,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8033",13.2,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8034",6.3,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8035",5.5,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8036",8.4,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8037",8.7,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8038",8.8,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8039",8.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8040",6.4,130,NA,"Fabaceae","Aganope","stuhlmannii",2006,"Aganope stuhlmannii","mlunguya"
"MGR-008","8041",7.2,130,NA,"Fabaceae","Aganope","stuhlmannii",2007,"Aganope stuhlmannii","mlunguya"
"MGR-008","8042",7.4,130,NA,"Fabaceae","Aganope","stuhlmannii",2008,"Aganope stuhlmannii","mlunguya"
"MGR-008","8043",7.8,130,NA,"Fabaceae","Aganope","stuhlmannii",2010,"Aganope stuhlmannii","mlunguya"
"MGR-008","8045",13.6,130,NA,NA,NA,NA,2007,"NA NA","mlunguya"
"MGR-008","8046",14.4,130,NA,NA,NA,NA,2008,"NA NA","mlunguya"
"MGR-008","8047",14.8,130,NA,NA,NA,NA,2010,"NA NA","mlunguya"
"MGR-008","8048",9.3,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8049",9.3,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8050",9.5,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8051",9.6,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8052",8.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8053",8.8,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8054",9.2,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8055",8.8,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8056",8.8,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8057",6.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8058",8.8,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8059",8.1,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8060",8.3,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8061",8.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8062",10,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8063",11.1,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8064",11.2,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8065",9.7,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8066",5.2,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8067",11.7,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8068",12.4,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8069",12.5,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8070",11.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8071",9.5,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8072",11.3,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8073",11.3,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8074",12.2,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8075",7,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8076",7,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8077",7.2,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8078",7.4,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8079",6.7,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8080",6.6,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8081",10,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8082",10.6,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8083",10.7,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8084",9.7,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8085",10,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8086",11.2,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8087",11.2,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8089",26,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8090",26.7,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8092",26.3,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8093",8.6,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8094",7.1,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8095",7.2,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8096",7.3,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8097",5.2,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8098",6.4,130,NA,"Fabaceae","Pterocarpus","angolensis",2010,"Pterocarpus angolensis","mlunguya"
"MGR-008","8099",7,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8100",8.6,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8101",8.9,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8102",9.9,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8104",9.2,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8105",9.3,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8106",9.3,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8108",8.8,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8109",8.9,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8110",7.9,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8111",8.3,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8112",7.7,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8113",8.3,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8114",8.5,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8115",7.6,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8116",8.7,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8117",9.5,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8118",9.8,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8119",8.7,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8120",5.8,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8121",10,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8122",10.3,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8123",10.5,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8124",10.3,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8125",7.6,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8126",8.2,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8127",8.4,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8128",7.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8129",8,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8130",9.9,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8131",10,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8132",10,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8133",6.4,130,NA,"Fabaceae","Pterocarpus","angolensis",2010,"Pterocarpus angolensis","mlunguya"
"MGR-008","8134",5.5,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8135",7.8,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8136",7.8,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8137",7.8,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8138",7.6,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8139",5.5,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8140",7.3,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8141",7.3,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8142",7.3,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8143",8,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8144",5.3,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8145",5.6,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8146",6.3,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8147",7,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8148",5.8,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8149",5.8,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8150",9,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8151",9.6,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8152",9.6,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8153",8.9,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8154",5.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8155",6.6,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8156",5.9,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8157",13,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8160",12.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8161",9.6,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8162",10.4,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8163",10.5,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8164",9.2,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8165",8.1,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8166",6.5,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8167",13.1,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8168",13.5,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8169",13,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8170",13.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8171",8.1,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8172",5.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8173",9.6,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","8174",10.2,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","8175",10.5,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","8176",9.5,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8177",7.3,130,NA,"Fabaceae","Aganope","stuhlmannii",2006,"Aganope stuhlmannii","mlunguya"
"MGR-008","8178",8.6,130,NA,"Fabaceae","Aganope","stuhlmannii",2007,"Aganope stuhlmannii","mlunguya"
"MGR-008","8179",8.9,130,NA,"Fabaceae","Aganope","stuhlmannii",2008,"Aganope stuhlmannii","mlunguya"
"MGR-008","8180",8.7,130,NA,"Fabaceae","Aganope","stuhlmannii",2010,"Aganope stuhlmannii","mlunguya"
"MGR-008","8181",7,130,NA,"Fabaceae","Aganope","stuhlmannii",2006,"Aganope stuhlmannii","mlunguya"
"MGR-008","8182",7.6,130,NA,"Fabaceae","Aganope","stuhlmannii",2007,"Aganope stuhlmannii","mlunguya"
"MGR-008","8183",7.6,130,NA,"Fabaceae","Aganope","stuhlmannii",2008,"Aganope stuhlmannii","mlunguya"
"MGR-008","8184",7.6,130,NA,"Fabaceae","Aganope","stuhlmannii",2010,"Aganope stuhlmannii","mlunguya"
"MGR-008","8185",6.7,130,NA,"Fabaceae","Aganope","stuhlmannii",2006,"Aganope stuhlmannii","mlunguya"
"MGR-008","8186",7.3,130,NA,"Fabaceae","Aganope","stuhlmannii",2007,"Aganope stuhlmannii","mlunguya"
"MGR-008","8187",7.5,130,NA,"Fabaceae","Aganope","stuhlmannii",2008,"Aganope stuhlmannii","mlunguya"
