"plotcode","stem_id","diam","pom","height","family","genus","species","year","gen_sp","group","height_method"
"ABG-003","ABG-003_5",20.4,130,9,"Fabaceae","Lonchocarpus","philenoptera",2017,"Lonchocarpus philenoptera","bicuar","laser"
"ABG-001","ABG-001_6",9.7,130,4.8,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","stick"
"ABG-004","ABG-004_6",7.9,130,5,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_6",5.4,130,3.6,"Combretaceae","Combretum","zeyheri",2017,"Combretum zeyheri","bicuar","laser"
"ABG-003","ABG-003_6",17.3,130,9,"Fabaceae","Lonchocarpus","philenoptera",2017,"Lonchocarpus philenoptera","bicuar","stick"
"ABG-001","ABG-001_7",6.2,130,3.6,"Loganiaceae","Strychnos","spinosa",2017,"Strychnos spinosa","bicuar","laser"
"ABG-004","ABG-004_7",9.3,130,5.8,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_7",27,130,10.8,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-003","ABG-003_7",14,130,9.6,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","stick"
"ABG-001","ABG-001_8",5,130,3.7,"Loganiaceae","Strychnos","spinosa",2017,"Strychnos spinosa","bicuar","laser"
"ABG-004","ABG-004_8",6.8,130,4.8,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_8",7.3,130,2.8,"Combretaceae","Combretum","zeyheri",2017,"Combretum zeyheri","bicuar","laser"
"ABG-003","ABG-003_8",11.5,130,9.3,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_9",32.8,130,18.6,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","stick"
"ABG-004","ABG-004_9",5.5,130,3,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_9",7.7,130,5.4,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-003","ABG-003_9",17,130,4.6,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_10",7.1,160,NA,"Fabaceae","Erythrophleum","africanum",2017,"Erythrophleum africanum","bicuar","laser"
"ABG-004","ABG-004_10",6.8,130,5,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_10",5.6,130,3.8,"Combretaceae","Combretum","zeyheri",2017,"Combretum zeyheri","bicuar","stick"
"ABG-003","ABG-003_10",6.9,130,5,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_11",5.3,130,4.8,"Fabaceae","Erythrophleum","africanum",2017,"Erythrophleum africanum","bicuar","stick"
"ABG-004","ABG-004_11",6.1,130,4.8,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_11",32.4,130,14.8,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-003","ABG-003_11",12.3,130,7.2,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_12",25,130,19,"Fabaceae","Albizia","antunesiana",2017,"Albizia antunesiana","bicuar","laser"
"ABG-004","ABG-004_12",6.2,130,3.8,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","stick"
"ABG-002","ABG-002_12",30.8,130,14.4,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-003","ABG-003_12",5.6,130,7.2,"Combretaceae","Terminalia","brachystemma",2017,"Terminalia brachystemma","bicuar","laser"
"ABG-001","ABG-001_13",7.4,130,3.8,"INDET","Indet","indet",2017,"Indet indet","bicuar","laser"
"ABG-004","ABG-004_13",8,130,3.8,"INDET","Indet","indet",2017,"Indet indet","bicuar","stick"
"ABG-002","ABG-002_13",30.6,130,13,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-003","ABG-003_13",6.9,130,6,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-001","ABG-001_14",7.9,130,4.4,"INDET","Indet","indet",2017,"Indet indet","bicuar","stick"
"ABG-004","ABG-004_14",6.5,130,5.2,"INDET","Indet","indet",2017,"Indet indet","bicuar","laser"
"ABG-002","ABG-002_14",5.1,130,2.8,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-003","ABG-003_14",5.8,100,5.6,"Combretaceae","Terminalia","brachystemma",2017,"Terminalia brachystemma","bicuar","laser"
"ABG-001","ABG-001_15",5.5,130,3.4,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-004","ABG-004_15",8.6,130,5,"INDET","Indet","indet",2017,"Indet indet","bicuar","laser"
"ABG-002","ABG-002_15",25.9,130,12,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-003","ABG-003_15",6.8,130,NA,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","stick"
"ABG-001","ABG-001_16",5.5,130,3.8,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-004","ABG-004_16",7.9,130,3.6,"Fabaceae","Baphia","massaiensis",2017,"Baphia massaiensis","bicuar","laser"
"ABG-002","ABG-002_16",8.9,70,4,"Combretaceae","Combretum","zeyheri",2017,"Combretum zeyheri","bicuar","laser"
"ABG-003","ABG-003_16",14,130,6.6,"Phyllanthaceae","Pseudolachnostylis","maprouneifolia",2017,"Pseudolachnostylis maprouneifolia","bicuar","laser"
"ABG-001","ABG-001_17",9.6,140,3.4,"Loganiaceae","Strychnos","spinosa",2017,"Strychnos spinosa","bicuar","stick"
"ABG-004","ABG-004_17",10.3,130,5.2,"INDET","Indet","indet",2017,"Indet indet","bicuar","laser"
"ABG-002","ABG-002_17",7.8,130,2.3,"Apocynaceae","Diplorhynchus","condylocarpon",2017,"Diplorhynchus condylocarpon","bicuar","laser"
"ABG-003","ABG-003_17",9.8,130,4.8,"Combretaceae","Combretum","zeyheri",2017,"Combretum zeyheri","bicuar","stick"
"ABG-001","ABG-001_18",5.8,130,3.6,"INDET","Indet","indet",2017,"Indet indet","bicuar","stick"
"ABG-004","ABG-004_18",10.5,130,5.2,"INDET","Indet","indet",2017,"Indet indet","bicuar","laser"
"ABG-002","ABG-002_18",5.8,130,2.3,"Apocynaceae","Diplorhynchus","condylocarpon",2017,"Diplorhynchus condylocarpon","bicuar","laser"
"ABG-003","ABG-003_18",5.4,130,3.4,"Ochnaceae","Ochna","pulchra",2017,"Ochna pulchra","bicuar","laser"
"ABG-001","ABG-001_19",7.6,130,7.4,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-004","ABG-004_19",7.8,130,3.8,"INDET","Indet","indet",2017,"Indet indet","bicuar","laser"
"ABG-002","ABG-002_19",5.5,130,4,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-003","ABG-003_19",12.6,130,10.8,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","stick"
"ABG-001","ABG-001_20",6,130,5,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","stick"
"ABG-004","ABG-004_20",5.7,130,3,"INDET","Indet","indet",2017,"Indet indet","bicuar","laser"
"ABG-002","ABG-002_20",21.4,130,14,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-003","ABG-003_20",16.7,130,9.4,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","stick"
"ABG-001","ABG-001_21",5.5,130,5.2,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-004","ABG-004_21",5.3,130,3,"INDET","Indet","indet",2017,"Indet indet","bicuar","laser"
"ABG-002","ABG-002_21",6.6,130,4.2,"Combretaceae","Combretum","zeyheri",2017,"Combretum zeyheri","bicuar","laser"
"ABG-003","ABG-003_21",18.9,130,9.4,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","stick"
"ABG-001","ABG-001_22",8.8,140,19,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-004","ABG-004_22",5.7,130,4,"INDET","Indet","indet",2017,"Indet indet","bicuar","stick"
"ABG-002","ABG-002_22",5.5,130,4.2,"Combretaceae","Combretum","zeyheri",2017,"Combretum zeyheri","bicuar","stick"
"ABG-003","ABG-003_22",10,130,9,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-001","ABG-001_23",6.1,130,4.8,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-004","ABG-004_23",5,130,4,"INDET","Indet","indet",2017,"Indet indet","bicuar","laser"
"ABG-002","ABG-002_23",5,130,2,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-003","ABG-003_23",18,130,9.6,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_24",7.2,130,5.4,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","stick"
"ABG-004","ABG-004_24",48,150,20.8,"Fabaceae","Brachystegia","glaucescens",2017,"Brachystegia glaucescens","bicuar","laser"
"ABG-002","ABG-002_24",22.9,130,11.4,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-003","ABG-003_24",7.5,130,4.8,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","stick"
"ABG-001","ABG-001_25",11.8,130,6,"Fabaceae","Pterocarpus","angolensis",2017,"Pterocarpus angolensis","bicuar","laser"
"ABG-004","ABG-004_25",55.8,150,20.8,"Fabaceae","Brachystegia","glaucescens",2017,"Brachystegia glaucescens","bicuar","stick"
"ABG-002","ABG-002_25",6.3,140,4.4,"Combretaceae","Combretum","zeyheri",2017,"Combretum zeyheri","bicuar","laser"
"ABG-003","ABG-003_25",14.4,130,11.8,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_26",8.8,130,6,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","stick"
"ABG-004","ABG-004_26",6,130,3.8,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-002","ABG-002_26",28.5,130,11.7,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","stick"
"ABG-003","ABG-003_26",15,130,7.2,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","stick"
"ABG-001","ABG-001_27",11.3,130,7.6,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-004","ABG-004_27",6.7,130,4.8,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","stick"
"ABG-002","ABG-002_27",6.8,130,2.8,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","stick"
"ABG-003","ABG-003_27",55,130,21.4,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_28",6.5,130,NA,"Loganiaceae","Strychnos","spinosa",2017,"Strychnos spinosa","bicuar","laser"
"ABG-004","ABG-004_28",9.1,130,6.4,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-002","ABG-002_28",5.2,130,2.8,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-003","ABG-003_28",12,160,4.8,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_29",5.2,130,NA,"Loganiaceae","Strychnos","spinosa",2017,"Strychnos spinosa","bicuar","stick"
"ABG-004","ABG-004_29",11.6,150,7.4,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-002","ABG-002_29",8,130,6,"Combretaceae","Combretum","zeyheri",2017,"Combretum zeyheri","bicuar","laser"
"ABG-003","ABG-003_29",23.2,130,12,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-001","ABG-001_30",15.9,200,6.5,"Apocynaceae","Diplorhynchus","condylocarpon",2017,"Diplorhynchus condylocarpon","bicuar","laser"
"ABG-004","ABG-004_30",5.9,130,7,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","stick"
"ABG-002","ABG-002_30",8.5,100,4.4,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-003","ABG-003_30",6.4,130,3.6,"Combretaceae","Combretum","psidioides",2017,"Combretum psidioides","bicuar","stick"
"ABG-001","ABG-001_31",12.5,130,6.5,"Apocynaceae","Diplorhynchus","condylocarpon",2017,"Diplorhynchus condylocarpon","bicuar","laser"
"ABG-004","ABG-004_31",16,130,8.4,"Fabaceae","Brachystegia","glaucescens",2017,"Brachystegia glaucescens","bicuar","laser"
"ABG-002","ABG-002_31",5.1,130,2.2,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-003","ABG-003_31",17,130,3.8,"Fabaceae","Baphia","massaiensis",2017,"Baphia massaiensis","bicuar","laser"
"ABG-001","ABG-001_32",9.1,130,6.5,"Apocynaceae","Diplorhynchus","condylocarpon",2017,"Diplorhynchus condylocarpon","bicuar","laser"
"ABG-004","ABG-004_32",11.2,130,9.6,"Fabaceae","Brachystegia","glaucescens",2017,"Brachystegia glaucescens","bicuar","laser"
"ABG-002","ABG-002_32",5,130,2.2,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-003","ABG-003_32",16.3,130,7.6,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","stick"
"ABG-001","ABG-001_33",7,140,6.5,"Apocynaceae","Diplorhynchus","condylocarpon",2017,"Diplorhynchus condylocarpon","bicuar","stick"
"ABG-004","ABG-004_33",8.9,130,9.2,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","stick"
"ABG-002","ABG-002_33",8.3,130,4.4,"Combretaceae","Combretum","zeyheri",2017,"Combretum zeyheri","bicuar","stick"
"ABG-003","ABG-003_33",5,130,3.2,"Fabaceae","Lonchocarpus","philenoptera",2017,"Lonchocarpus philenoptera","bicuar","laser"
"ABG-001","ABG-001_34",12.2,130,7.4,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-004","ABG-004_34",12,130,10,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-002","ABG-002_34",9.2,130,3.4,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","stick"
"ABG-003","ABG-003_34",5.4,130,3.6,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_35",5,130,NA,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","stick"
"ABG-004","ABG-004_35",10.9,130,5.2,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-002","ABG-002_35",5.6,130,3.6,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-003","ABG-003_35",7.5,130,5.6,"Combretaceae","Terminalia","brachystemma",2017,"Terminalia brachystemma","bicuar","laser"
"ABG-001","ABG-001_36",9,140,NA,"Ebenaceae","Diospyros","kirkii",2017,"Diospyros kirkii","bicuar","laser"
"ABG-004","ABG-004_36",12.5,130,7.2,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-002","ABG-002_36",7.5,130,3.7,"Combretaceae","Terminalia","brachystemma",2017,"Terminalia brachystemma","bicuar","laser"
"ABG-003","ABG-003_36",6,130,3,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_37",31.1,130,NA,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-004","ABG-004_37",6.7,130,3.6,"Fabaceae","Baphia","massaiensis",2017,"Baphia massaiensis","bicuar","laser"
"ABG-002","ABG-002_37",5.5,130,3.7,"Combretaceae","Terminalia","brachystemma",2017,"Terminalia brachystemma","bicuar","laser"
"ABG-003","ABG-003_37",7.6,130,4.4,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","stick"
"ABG-001","ABG-001_38",7.4,130,5.1,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","stick"
"ABG-004","ABG-004_38",7.6,130,2.8,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-002","ABG-002_38",6.5,130,3,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-003","ABG-003_38",5.5,130,5,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_39",9.1,130,6.2,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-004","ABG-004_39",5.6,140,3.8,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-002","ABG-002_39",26.8,130,14.4,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","stick"
"ABG-003","ABG-003_39",16.5,130,10,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","stick"
"ABG-001","ABG-001_40",9.8,130,7.6,"Fabaceae","Pterocarpus","angolensis",2017,"Pterocarpus angolensis","bicuar","laser"
"ABG-004","ABG-004_40",18.1,130,7.8,"Fabaceae","Pterocarpus","angolensis",2017,"Pterocarpus angolensis","bicuar","laser"
"ABG-002","ABG-002_40",28.9,130,14.4,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","stick"
"ABG-003","ABG-003_40",5.3,110,2.5,"Ximeniaceae","Ximenia","americana",2017,"Ximenia americana","bicuar","laser"
"ABG-001","ABG-001_41",8.2,130,3.6,"Fabaceae","Bobgunnia","madagascariensis",2017,"Bobgunnia madagascariensis","bicuar","laser"
"ABG-004","ABG-004_41",11.5,130,7.8,"Fabaceae","Pterocarpus","angolensis",2017,"Pterocarpus angolensis","bicuar","stick"
"ABG-002","ABG-002_41",5.7,130,2.8,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-003","ABG-003_41",7.5,130,4.2,"Combretaceae","Combretum","psidioides",2017,"Combretum psidioides","bicuar","laser"
"ABG-001","ABG-001_42",9.5,130,7.5,"INDET","Indet","indet",2017,"Indet indet","bicuar","laser"
"ABG-004","ABG-004_42",17.5,130,11.2,"Fabaceae","Brachystegia","glaucescens",2017,"Brachystegia glaucescens","bicuar","stick"
"ABG-002","ABG-002_42",7.9,130,1.9,"Fabaceae","Guibourtia","coleosperma",2017,"Guibourtia coleosperma","bicuar","stick"
"ABG-003","ABG-003_42",9.2,130,7,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_43",6.8,130,7.2,"INDET","Indet","indet",2017,"Indet indet","bicuar","laser"
"ABG-004","ABG-004_43",25.4,130,11.2,"Fabaceae","Brachystegia","glaucescens",2017,"Brachystegia glaucescens","bicuar","laser"
"ABG-002","ABG-002_43",38.4,130,15,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-003","ABG-003_43",7.9,130,4.8,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","stick"
"ABG-001","ABG-001_44",5.8,130,8,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-004","ABG-004_44",7,130,6,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_44",5.1,130,4.2,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","stick"
"ABG-003","ABG-003_44",5,130,2.9,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_45",11.2,130,8.2,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-004","ABG-004_45",6.2,100,6,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","stick"
"ABG-002","ABG-002_45",6.2,130,4.8,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","stick"
"ABG-003","ABG-003_45",5.2,130,4.8,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_46",13.7,130,7.6,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","stick"
"ABG-004","ABG-004_46",7,130,5.4,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_46",6.2,130,3,"Phyllanthaceae","Pseudolachnostylis","maprouneifolia",2017,"Pseudolachnostylis maprouneifolia","bicuar","laser"
"ABG-003","ABG-003_46",5.9,130,5.8,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_47",7.7,130,8.4,"Fabaceae","Erythrophleum","africanum",2017,"Erythrophleum africanum","bicuar","stick"
"ABG-004","ABG-004_47",5.8,130,5.4,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_47",6.4,130,5,"Combretaceae","Terminalia","brachystemma",2017,"Terminalia brachystemma","bicuar","laser"
"ABG-003","ABG-003_47",5.5,130,6.8,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","stick"
"ABG-001","ABG-001_48",12.9,130,8.5,"Fabaceae","Erythrophleum","africanum",2017,"Erythrophleum africanum","bicuar","laser"
"ABG-004","ABG-004_48",5.8,130,5.4,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_48",6.1,130,2.8,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-003","ABG-003_48",14.5,130,10.8,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_49",14.1,130,8.6,"Fabaceae","Erythrophleum","africanum",2017,"Erythrophleum africanum","bicuar","laser"
"ABG-004","ABG-004_49",7.3,130,4.8,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_49",6.5,130,3.4,"Combretaceae","Combretum","hereroense",2017,"Combretum hereroense","bicuar","stick"
"ABG-003","ABG-003_49",20.9,130,8.8,"Fabaceae","Lonchocarpus","philenoptera",2017,"Lonchocarpus philenoptera","bicuar","stick"
"ABG-001","ABG-001_50",6,130,4,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-004","ABG-004_50",7.6,130,4.8,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_50",7,130,7,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-003","ABG-003_50",20.2,100,12.8,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_51",9.8,150,5,"Fabaceae","Bobgunnia","madagascariensis",2017,"Bobgunnia madagascariensis","bicuar","stick"
"ABG-004","ABG-004_51",23.1,130,7.8,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_51",8,130,6,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-003","ABG-003_51",6.5,130,6,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-004","ABG-004_52",10.4,130,4.2,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_52",8.6,130,2.2,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-003","ABG-003_52",5.8,130,3.2,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-001","ABG-001_53",6.3,130,4.7,"Fabaceae","Bobgunnia","madagascariensis",2017,"Bobgunnia madagascariensis","bicuar","laser"
"ABG-004","ABG-004_53",6.3,130,4.2,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_53",13.9,130,8.6,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-003","ABG-003_53",6.4,130,4.6,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_54",10.5,130,6.5,"Fabaceae","Bobgunnia","madagascariensis",2017,"Bobgunnia madagascariensis","bicuar","laser"
